Value,Count,MUKEY,musym,muname,aws0150wta,flodfreqdcd,AREASYMBOL,areaname,farmlndcl,tfact,drainagecl,runoff,cokey,hzdept_r,hzdepb_r,hzname,desgndisc,awc_r,chkey,hydriccriterion
166411,72.000000000000000,166411,DAM,Dam,,,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790371,,,,,,,
166412,164.000000000000000,166412,RdF2,"Rarden silt loam, 20 to 50 percent slopes, eroded",12.5200005,None,OH049,"Franklin County, Ohio",Not prime farmland,3,Moderately well drained,Very high,23790268,97,122,H3,,,70641547,
166413,184.000000000000000,166413,LbF,"Latham-Brecksville complex, 25 to 70 percent slopes",9.3999996,None,OH049,"Franklin County, Ohio",Not prime farmland,3,Well drained,Very high,23790196,56,81,H3,,,70641396,
167866,15829.000000000000000,167866,AdB,"Alexandria silt loam, 2 to 6 percent slopes",20.4799995,None,OH049,"Franklin County, Ohio",All areas are prime farmland,5,Well drained,Medium,23790318,20,107,H2,,0.1400000,70641718,
167867,21544.000000000000000,167867,AdC2,"Alexandria silt loam, 6 to 12 percent slopes, eroded",20.4799995,None,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790146,,,,,,,
167868,45866.000000000000000,167868,AdD2,"Alexandria silt loam, 12 to 18 percent slopes, eroded",20.4799995,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Well drained,High,23790149,20,107,H2,,0.1400000,70641354,
167869,71183.000000000000000,167869,AdE2,"Alexandria silt loam, 18 to 25 percent slopes, eroded",20.4799995,None,OH049,"Franklin County, Ohio",Not prime farmland,5,Well drained,Very high,23790152,20,107,H2,,0.1400000,70641357,
167870,11575.000000000000000,167870,Ag,Algiers silt loam,27.0000000,Frequent,OH049,"Franklin County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,5,Somewhat poorly drained,Very low,23790156,0,58,H1,,0.1800000,70641359,
167871,402386.000000000000000,167871,BeA,"Bennington silt loam, 0 to 2 percent slopes",20.4400005,None,OH049,"Franklin County, Ohio",Prime farmland if drained,5,Poorly drained,Negligible,23790375,0,25,Ap,,0.2100000,70641775,2
167872,712069.000000000000000,167872,BeB,"Bennington silt loam, 2 to 6 percent slopes",20.2199993,None,OH049,"Franklin County, Ohio",Prime farmland if drained,5,Moderately well drained,High,23790476,20,86,Bt,,0.1500000,70642001,
167873,840459.000000000000000,167873,BfA,"Bennington-Urban land complex, 0 to 2 percent slopes",19.0200005,None,OH049,"Franklin County, Ohio",Not prime farmland,,,,23790379,,,,,,,
